Actual,Predicted
29.36,22.981016644088207
26.49,9.722941617169754
19.75,4.020046824806592
51.89,24.234480419658603
41.98,22.486680940466044
7.78,12.68658620884808
6.49,5.3407407218224385
15.65,17.078403837532626
14.89,11.163368970731858
11.96,22.158694024033593
-4.33,9.334125860876464
6.0,10.027806757581146
13.16,5.986137018353144
13.68,7.281550250668573
19.09,18.78527440086952
81.36,31.693746283734967
-17.64,-7.377683899909702
2.65,-9.659561712107966
-4.9,11.220127587371922
43.64,13.067863018485138
