Model,MAE,MSE,RMSE,R2
Linear Regression,12.896688748879361,303.6465688580839,17.425457493508855,0.3665095339776454
Random Forest,15.469640000000007,511.86489287800015,22.62443132717373,-0.0678913012230275
XGBoost,15.1574,403.364,20.0839,0.1585
