company,ticker,year,year_end_price,dividend_per_share,dividend_yield
Procter & Gamble,PG,2016,84.08000183105469,2.673,3.18
Procter & Gamble,PG,2017,91.87999725341795,2.74,2.98
Procter & Gamble,PG,2018,91.91999816894533,2.841,3.09
Procter & Gamble,PG,2019,124.9000015258789,2.955,2.37
Procter & Gamble,PG,2020,139.13999938964844,3.119,2.24
Procter & Gamble,PG,2021,163.5800018310547,3.401,2.08
Procter & Gamble,PG,2022,151.55999755859375,3.609,2.38
Procter & Gamble,PG,2023,146.5399932861328,3.736,2.55
Procter & Gamble,PG,2024,167.64999389648438,3.962,2.36
Procter & Gamble,PG,2025,143.30999755859375,4.178,2.92
Verizon,VZ,2015,46.220001220703125,2.215,4.79
Verizon,VZ,2016,53.380001068115234,2.273,4.26
Verizon,VZ,2017,52.93000030517578,2.324,4.39
Verizon,VZ,2018,56.220001220703125,2.373,4.22
Verizon,VZ,2019,61.400001525878906,2.424,3.95
Verizon,VZ,2020,58.75,2.473,4.21
Verizon,VZ,2021,51.959999084472656,2.524,4.86
Verizon,VZ,2022,39.400001525878906,2.573,6.53
Verizon,VZ,2023,37.70000076293945,2.624,6.96
Verizon,VZ,2024,39.9900016784668,2.673,6.68
Verizon,VZ,2025,40.72999954223633,2.724,6.69
Walmart,WMT,2015,20.433332443237305,0.653332,3.2
Walmart,WMT,2016,23.040000915527344,0.666668,2.89
Walmart,WMT,2017,32.91666793823242,0.68,2.07
Walmart,WMT,2018,31.049999237060547,0.693332,2.23
Walmart,WMT,2019,39.61333465576172,0.706668,1.78
Walmart,WMT,2020,48.04999923706055,0.72,1.5
Walmart,WMT,2021,48.22999954223633,0.733332,1.52
Walmart,WMT,2022,47.26333236694336,0.746668,1.58
Walmart,WMT,2023,52.54999923706055,0.76,1.45
Walmart,WMT,2024,90.3499984741211,0.832,0.92
Walmart,WMT,2025,111.41000366210938,0.94,0.84
Exxon Mobil,XOM,2015,77.94999694824219,2.88,3.69
Exxon Mobil,XOM,2016,90.26000213623048,2.98,3.3
Exxon Mobil,XOM,2017,83.63999938964844,3.06,3.66
Exxon Mobil,XOM,2018,68.19000244140625,3.23,4.74
Exxon Mobil,XOM,2019,69.77999877929688,3.43,4.92
Exxon Mobil,XOM,2020,41.220001220703125,3.48,8.44
Exxon Mobil,XOM,2021,61.18999862670898,3.49,5.7
Exxon Mobil,XOM,2022,110.3000030517578,3.55,3.22
Exxon Mobil,XOM,2023,99.9800033569336,3.68,3.68
Exxon Mobil,XOM,2024,107.56999969482422,3.84,3.57
Exxon Mobil,XOM,2025,120.33999633789062,4.0,3.32
