company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,price_growth,annual_stock_return,total_return
McDonald's,MCD,2023,296.510009765625,6.23,2.1,10.07,12.51,12.51,14.61
McDonald's,MCD,2024,289.8900146484375,6.779999999999999,2.34,8.83,-2.23,-2.23,0.11
McDonald's,MCD,2025,305.6300048828125,7.17,2.35,5.75,5.43,5.43,7.78
Microsoft,MSFT,2015,55.47999954223633,1.29,2.33,,,,
Microsoft,MSFT,2016,62.13999938964844,1.47,2.37,13.95,12.0,12.0,14.37
Microsoft,MSFT,2017,85.54000091552734,1.59,1.86,8.16,37.66,37.66,39.52
Microsoft,MSFT,2018,101.56999969482422,1.72,1.69,8.18,18.74,18.74,20.43
Microsoft,MSFT,2019,157.6999969482422,1.89,1.2,9.88,55.26,55.26,56.46
Microsoft,MSFT,2020,222.4199981689453,2.09,0.94,10.58,41.04,41.04,41.98
Microsoft,MSFT,2021,336.32000732421875,2.3000000000000003,0.68,10.05,51.21,51.21,51.89
Microsoft,MSFT,2022,239.82000732421875,2.54,1.06,10.43,-28.69,-28.69,-27.63
Microsoft,MSFT,2023,376.0400085449219,2.79,0.74,9.84,56.8,56.8,57.54
Microsoft,MSFT,2024,421.5,3.08,0.73,10.39,12.09,12.09,12.82
Microsoft,MSFT,2025,483.6199951171875,3.4,0.7,10.39,14.74,14.74,15.44
PepsiCo,PEP,2015,99.91999816894533,2.764,2.77,,,,
PepsiCo,PEP,2016,104.62999725341795,2.962,2.83,7.16,4.71,4.71,7.54
PepsiCo,PEP,2017,119.91999816894533,3.168,2.64,6.95,14.61,14.61,17.25
PepsiCo,PEP,2018,110.4800033569336,3.5890000000000004,3.25,13.29,-7.87,-7.87,-4.62
PepsiCo,PEP,2019,136.6699981689453,3.793,2.78,5.68,23.71,23.71,26.49
PepsiCo,PEP,2020,148.3000030517578,4.024,2.71,6.09,8.51,8.51,11.22
PepsiCo,PEP,2021,173.7100067138672,4.247999999999999,2.45,5.57,17.13,17.13,19.58
PepsiCo,PEP,2022,180.66000366210932,4.525,2.5,6.52,4.0,4.0,6.5
PepsiCo,PEP,2023,169.83999633789062,4.944999999999999,2.91,9.28,-5.99,-5.99,-3.08
PepsiCo,PEP,2024,152.05999755859375,5.33,3.51,7.79,-10.47,-10.47,-6.96
PepsiCo,PEP,2025,143.52000427246094,5.6240000000000006,3.92,5.52,-5.62,-5.62,-1.7
Procter & Gamble,PG,2015,79.41000366210938,2.633,3.32,,,,
Procter & Gamble,PG,2016,84.08000183105469,2.673,3.18,1.52,5.88,5.88,9.06
Procter & Gamble,PG,2017,91.87999725341795,2.74,2.98,2.51,9.28,9.28,12.26
Procter & Gamble,PG,2018,91.91999816894533,2.841,3.09,3.69,0.04,0.04,3.13
Procter & Gamble,PG,2019,124.9000015258789,2.955,2.37,4.01,35.88,35.88,38.25
Procter & Gamble,PG,2020,139.13999938964844,3.119,2.24,5.55,11.4,11.4,13.64
Procter & Gamble,PG,2021,163.5800018310547,3.401,2.08,9.04,17.57,17.57,19.65
Procter & Gamble,PG,2022,151.55999755859375,3.609,2.38,6.12,-7.35,-7.35,-4.97
Procter & Gamble,PG,2023,146.5399932861328,3.736,2.55,3.52,-3.31,-3.31,-0.76
Procter & Gamble,PG,2024,167.64999389648438,3.962,2.36,6.05,14.41,14.41,16.77
Procter & Gamble,PG,2025,143.30999755859375,4.178,2.92,5.45,-14.52,-14.52,-11.6
Verizon,VZ,2015,46.220001220703125,2.215,4.79,,,,
