company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_consistency,annual_stock_return,total_return,return_volatility,revenue,net_income,total_assets,profit_margin,roa
Coca-Cola,KO,2017,45.880001068115234,1.48,3.23,5.71,90.91,10.66,13.89,7.49,,,,,
Coca-Cola,KO,2018,47.34999847412109,1.56,3.29,5.41,90.91,3.2,6.49,7.49,,,,,
Coca-Cola,KO,2019,55.34999847412109,1.6,2.89,2.56,90.91,16.9,19.79,7.49,,,,,
Coca-Cola,KO,2020,54.84000015258789,1.64,2.99,2.5,90.91,-0.92,2.07,7.49,,,,,
Coca-Cola,KO,2021,59.209999084472656,1.68,2.84,2.44,90.91,7.97,10.81,7.49,,,,,
Coca-Cola,KO,2022,63.61000061035156,1.76,2.77,4.76,90.91,7.43,10.2,7.49,43004000000.0,9542000000.0,92763000000.0,22.18863361547763,10.286428856332805
Coca-Cola,KO,2023,58.93000030517578,1.84,3.12,4.55,90.91,-7.36,-4.24,7.49,45754000000.0,10714000000.0,97703000000.0,23.416531887922368,10.965886410857395
Coca-Cola,KO,2024,62.2599983215332,1.94,3.12,5.43,90.91,5.65,8.77,7.49,47061000000.0,10631000000.0,100549000000.0,22.589830220352308,10.57295447990532
Coca-Cola,KO,2025,69.91000366210938,2.04,2.92,5.15,90.91,12.29,15.21,7.49,47941000000.0,13107000000.0,104816000000.0,27.33985523873094,12.504770264081818
McDonald's,MCD,2015,118.13999938964844,3.44,2.91,,90.91,,,13.41,,,,,
McDonald's,MCD,2016,121.72000122070312,3.61,2.97,4.94,90.91,3.03,6.0,13.41,,,,,
McDonald's,MCD,2017,172.1199951171875,3.83,2.23,6.09,90.91,41.41,43.64,13.41,,,,,
McDonald's,MCD,2018,177.57000732421875,4.19,2.36,9.4,90.91,3.17,5.53,13.41,,,,,
McDonald's,MCD,2019,197.6100006103516,4.73,2.39,12.89,90.91,11.29,13.68,13.41,,,,,
McDonald's,MCD,2020,214.5800018310547,5.04,2.35,6.55,90.91,8.59,10.94,13.41,,,,,
McDonald's,MCD,2021,268.07000732421875,5.25,1.96,4.17,90.91,24.93,26.89,13.41,,,,,
McDonald's,MCD,2022,263.5299987792969,5.66,2.15,7.81,90.91,-1.69,0.46,13.41,23182000000.0,6177000000.0,50435600000.0,26.645673367267708,12.247301509251402
McDonald's,MCD,2023,296.510009765625,6.23,2.1,10.07,90.91,12.51,14.61,13.41,25495000000.0,8469000000.0,56147000000.0,33.21827809374387,15.083619783781858
