company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_growth_category,annual_stock_return,return_category,total_return,return_volatility,average_return,dividend_consistency,revenue,net_income,total_assets,profit_margin,roa,dividend_yield_normalized,dividend_growth_normalized,annual_stock_return_normalized,total_return_normalized,return_volatility_normalized,profit_margin_normalized,roa_normalized,eps,payout_ratio
Verizon,VZ,2017,52.93000030517578,2.324,4.39,2.24,Increased,-0.84,Negative,3.55,11.33,-0.64,90.91,,,,,,0.4975186104218363,0.13598326359832635,0.31544574710834844,0.3011112039435208,0.13393791419602374,,,,
Verizon,VZ,2018,56.220001220703125,2.373,4.22,2.11,Increased,6.22,Positive,10.44,11.33,-0.64,90.91,,,,,,0.4764267990074442,0.12691771269177124,0.3709969313085215,0.3586765811680174,0.13393791419602374,,,,
Verizon,VZ,2019,61.400001525878906,2.424,3.95,2.15,Increased,9.21,Positive,13.16,11.33,-0.64,90.91,,,,,,0.4429280397022333,0.12970711297071127,0.39452356597686683,0.3814019550505473,0.13393791419602374,,,,
Verizon,VZ,2020,58.75,2.473,4.21,2.02,Increased,-4.32,Negative,-0.11,11.33,-0.64,90.91,,,,,,0.4751861042183624,0.12064156206415619,0.28806357699268237,0.2705322082045284,0.13393791419602374,,,,
Verizon,VZ,2021,51.959999084472656,2.524,4.86,2.06,Increased,-11.56,Negative,-6.7,11.33,-0.64,90.91,,,,,,0.555831265508685,0.12343096234309622,0.2310960736485955,0.21547330604060494,0.13393791419602374,,,,
Verizon,VZ,2022,39.400001525878906,2.573,6.53,1.94,Increased,-24.17,Negative,-17.64,11.33,-0.64,90.91,136835000000.0,21256000000.0,379680000000.0,15.53403734424672,5.598398651495996,0.76302729528536,0.11506276150627612,0.13187504917774806,0.12407051549837081,0.13393791419602374,0.3460458948040978,0.0904568852082468,5.06,50.84980237154151
Verizon,VZ,2023,37.70000076293945,2.624,6.96,1.98,Increased,-4.31,Negative,2.65,11.33,-0.64,90.91,133974000000.0,11614000000.0,380255000000.0,8.668846194037648,3.054266216091833,0.816377171215881,0.11785216178521615,0.28814226138956645,0.29359177876180137,0.13393791419602374,0.1716632132355053,0.0,2.75,95.41818181818182
Verizon,VZ,2024,39.9900016784668,2.673,6.68,1.87,Increased,6.07,Positive,12.75,11.33,-0.64,90.91,134788000000.0,17506000000.0,384711000000.0,12.98780306852242,4.550428763409417,0.7816377171215881,0.11018131101813108,0.3698166653552601,0.3779764391344307,0.13393791419602374,0.28136901237102174,0.053196210194177584,4.14,64.56521739130436
Verizon,VZ,2025,40.72999954223633,2.724,6.69,1.91,Increased,1.85,Positive,8.54,11.33,-0.64,90.91,138191000000.0,17174000000.0,404258000000.0,12.427726841834852,4.248277090372979,0.7828784119106702,0.11297071129707109,0.3366118498701708,0.34280223911772084,0.13393791419602374,0.26714251930540295,0.04245317700023349,4.06,67.09359605911331
Walmart,WMT,2015,20.433332443237305,0.653332,3.2,,First Year,,First Year,,23.44,20.36,90.91,,,,,,0.3498759305210919,,,,0.5563306592256716,,,,
Walmart,WMT,2016,23.040000915527344,0.666668,2.89,2.04,Increased,12.76,Positive,15.65,23.44,20.36,90.91,,,,,,0.3114143920595534,0.1220362622036262,0.42245652687072155,0.4022056980533044,0.5563306592256716,,,,
Walmart,WMT,2017,32.91666793823242,0.68,2.07,2.0,Increased,42.87,Positive,44.94,23.44,20.36,90.91,,,,,,0.20967741935483875,0.11924686192468617,0.6593752458887403,0.6469212131339294,0.5563306592256716,,,,
Walmart,WMT,2018,31.049999237060547,0.693332,2.23,1.96,Increased,-5.67,Negative,-3.44,23.44,20.36,90.91,,,,,,0.22952853598014894,0.11645746164574614,0.27744118341332913,0.24271033503216646,0.5563306592256716,,,,
Walmart,WMT,2019,39.61333465576172,0.706668,1.78,1.92,Increased,27.58,Positive,29.36,23.44,20.36,90.91,,,,,,0.17369727047146405,0.1136680613668061,0.5390668030529546,0.5167516083214972,0.5563306592256716,,,,
Walmart,WMT,2020,48.04999923706055,0.72,1.5,1.89,Increased,21.3,Positive,22.8,23.44,20.36,90.91,,,,,,0.13895781637717125,0.1115760111576011,0.48965300180974114,0.46194335366363115,0.5563306592256716,,,,
Walmart,WMT,2021,48.22999954223633,0.733332,1.52,1.85,Increased,0.37,Positive,1.89,23.44,20.36,90.91,,,,,,0.14143920595533502,0.10878661087866107,0.3249665591313243,0.28724204194168274,0.5563306592256716,,,,
Walmart,WMT,2022,47.26333236694336,0.746668,1.58,1.82,Increased,-2.0,Negative,-0.42,23.44,20.36,90.91,,,,,,0.14888337468982635,0.10669456066945604,0.3063183570697931,0.2679421839752695,0.5563306592256716,,,,
Walmart,WMT,2023,52.54999923706055,0.76,1.45,1.79,Increased,11.19,Positive,12.64,23.44,20.36,90.91,611289000000.0,11680000000.0,243197000000.0,1.9107165350595217,4.802690822666398,0.13275434243176182,0.10460251046025103,0.4101030765599182,0.3770573982788872,0.5563306592256716,0.0,0.062165413140949394,1.423333,53.39579704819604
Walmart,WMT,2024,90.3499984741211,0.832,0.92,9.47,Increased,71.93,Positive,72.85,23.44,20.36,90.91,648125000000.0,15511000000.0,252399000000.0,2.3932111861137897,6.1454284684170695,0.06699751861042186,0.6401673640167364,0.8880321032339289,0.8801069429359178,0.5563306592256716,0.012255843901853088,0.1099065854935454,1.913333,43.484328133158215
Walmart,WMT,2025,111.41000366210938,0.94,0.84,12.98,Increased,23.31,Positive,24.15,23.44,20.36,90.91,680985000000.0,19436000000.0,260823000000.0,2.854101044810091,7.451796812397679,0.057071960297766754,0.8849372384937237,0.5054685655834448,0.47322249143621026,0.5563306592256716,0.02396290459524443,0.15635464365541102,2.41,39.00414937759336
Exxon Mobil,XOM,2015,77.94999694824219,2.88,3.69,,First Year,,First Year,,34.3,9.02,90.91,,,,,,0.41066997518610426,,,,0.9351238228113012,,,,
Exxon Mobil,XOM,2016,90.26000213623048,2.98,3.3,3.47,Increased,15.79,Positive,19.09,34.3,9.02,90.91,,,,,,0.3622828784119107,0.22175732217573219,0.4462978991266032,0.4309466120812099,0.9351238228113012,,,,
Exxon Mobil,XOM,2017,83.63999938964844,3.06,3.66,2.68,Increased,-7.33,Negative,-3.67,34.3,9.02,90.91,,,,,,0.4069478908188586,0.16666666666666666,0.2643795735305689,0.24078870415239373,0.9351238228113012,,,,
Exxon Mobil,XOM,2018,68.19000244140625,3.23,4.74,5.56,Increased,-18.47,Negative,-13.73,34.3,9.02,90.91,,,,,,0.5409429280397023,0.3675034867503486,0.17672515540168388,0.15673824045450752,0.9351238228113012,,,,
Exxon Mobil,XOM,2019,69.77999877929688,3.43,4.92,6.19,Increased,2.33,Positive,7.25,34.3,9.02,90.91,,,,,,0.5632754342431763,0.4114365411436541,0.34038870092060747,0.3320243963572563,0.9351238228113012,,,,
Exxon Mobil,XOM,2020,41.220001220703125,3.48,8.44,1.46,Increased,-40.93,Negative,-32.49,34.3,9.02,90.91,,,,,,1.0,0.08158995815899579,0.0,0.0,0.9351238228113012,,,,
Exxon Mobil,XOM,2021,61.18999862670898,3.49,5.7,0.29,Increased,48.45,Positive,54.15,34.3,9.02,90.91,,,,,,0.6600496277915634,0.0,0.703281139350067,0.723869997493525,0.9351238228113012,,,,
Exxon Mobil,XOM,2022,110.3000030517578,3.55,3.22,1.72,Increased,80.26,Positive,83.48,34.3,9.02,90.91,398675000000.0,55740000000.0,369067000000.0,13.981313099642566,15.1029487870766,0.3523573200992557,0.09972105997210598,0.9535762058383823,0.9689197092488931,0.9351238228113012,0.3066051550510039,0.4283921234080853,13.26,26.772247360482655
Exxon Mobil,XOM,2023,99.9800033569336,3.68,3.68,3.66,Increased,-9.36,Negative,-5.68,34.3,9.02,90.91,334697000000.0,36010000000.0,376317000000.0,10.758984992396108,9.56906012749889,0.4094292803970224,0.2350069735006973,0.24840664096309706,0.22399532124655364,0.9351238228113012,0.22475481702824224,0.23163415425970751,8.89,41.394825646794146
Exxon Mobil,XOM,2024,107.56999969482422,3.84,3.57,4.35,Increased,7.59,Positive,11.16,34.3,9.02,90.91,339247000000.0,33680000000.0,453475000000.0,9.927869664285904,7.427090798831247,0.39578163771712166,0.2831241283124128,0.38177669368164296,0.364692121313393,0.9351238228113012,0.2036436612807137,0.15547621885250684,7.84,48.97959183673469
Exxon Mobil,XOM,2025,120.33999633789062,4.0,3.32,4.17,Increased,11.87,Positive,15.19,34.3,9.02,90.91,323905000000.0,28844000000.0,448980000000.0,8.905080193266544,6.424339614236714,0.3647642679900745,0.2705718270571827,0.41545361554803684,0.3983624362937589,0.9351238228113012,0.17766379171349173,0.11982329939947858,6.7,59.70149253731343
