company,ticker,year,year_end_price,dividend_per_share,dividend_yield
Microsoft,MSFT,2019,157.6999969482422,1.8900000000000001,1.1984781462109388
Microsoft,MSFT,2020,222.4199981689453,2.09,0.9396637070433218
Microsoft,MSFT,2021,336.32000732421875,2.3000000000000003,0.6838724874856338
Microsoft,MSFT,2022,239.82000732421875,2.54,1.0591276467463824
Microsoft,MSFT,2023,376.0400085449219,2.79,0.7419423296993957
Microsoft,MSFT,2024,421.5,3.08,0.730723606168446
Microsoft,MSFT,2025,483.6199951171875,3.4,0.7030313126685622
PepsiCo,PEP,2015,99.91999816894531,2.764,2.766213021067727
PepsiCo,PEP,2016,104.62999725341797,2.9619999999999997,2.830928106426228
PepsiCo,PEP,2017,119.91999816894531,3.168,2.6417612144530462
PepsiCo,PEP,2018,110.4800033569336,3.5890000000000004,3.2485516753695496
PepsiCo,PEP,2019,136.6699981689453,3.793,2.7752982006418585
PepsiCo,PEP,2020,148.3000030517578,4.024,2.7134186899481003
PepsiCo,PEP,2021,173.7100067138672,4.247999999999999,2.445454974276323
PepsiCo,PEP,2022,180.66000366210938,4.5249999999999995,2.504704919890936
PepsiCo,PEP,2023,169.83999633789062,4.944999999999999,2.911563887555731
PepsiCo,PEP,2024,152.05999755859375,5.33,3.5051953739155985
PepsiCo,PEP,2025,143.52000427246094,5.6240000000000006,3.91861749761608
Procter & Gamble,PG,2015,79.41000366210938,2.633,3.315703159016904
Procter & Gamble,PG,2016,84.08000183105469,2.673,3.1791150592158237
Procter & Gamble,PG,2017,91.87999725341797,2.7399999999999998,2.982150720404022
Procter & Gamble,PG,2018,91.91999816894531,2.8409999999999997,3.090731132063726
Procter & Gamble,PG,2019,124.9000015258789,2.955,2.3658926852676885
Procter & Gamble,PG,2020,139.13999938964844,3.119,2.2416271479673755
Procter & Gamble,PG,2021,163.5800018310547,3.401,2.0791050017914476
Procter & Gamble,PG,2022,151.55999755859375,3.609,2.3812351927524578
Procter & Gamble,PG,2023,146.5399932861328,3.7359999999999998,2.5494746630055567
Procter & Gamble,PG,2024,167.64999389648438,3.9619999999999997,2.363256871006115
Procter & Gamble,PG,2025,143.30999755859375,4.178,2.915358363809742
Verizon,VZ,2015,46.220001220703125,2.215,4.792297580052518
Verizon,VZ,2016,53.380001068115234,2.2729999999999997,4.258149034316338
Verizon,VZ,2017,52.93000030517578,2.324,4.3907046790112085
Verizon,VZ,2018,56.220001220703125,2.3729999999999998,4.220917731190191
Verizon,VZ,2019,61.400001525878906,2.424,3.9478826380457512
Verizon,VZ,2020,58.75,2.473,4.2093617021276595
Verizon,VZ,2021,51.959999084472656,2.524,4.857582841556003
Verizon,VZ,2022,39.400001525878906,2.573,6.530456599881067
Verizon,VZ,2023,37.70000076293945,2.624,6.96021206073686
Verizon,VZ,2024,39.9900016784668,2.673,6.684170762211586
Verizon,VZ,2025,40.72999954223633,2.724,6.687945078848473
Walmart,WMT,2015,20.433332443237305,0.653332,3.1973834998031823
Walmart,WMT,2016,23.040000915527344,0.666668,2.8935241905772346
Walmart,WMT,2017,32.91666793823242,0.68,2.0658227050077147
Walmart,WMT,2018,31.049999237060547,0.693332,2.232953355993823
Walmart,WMT,2019,39.61333465576172,0.706668,1.7839144473468755
Walmart,WMT,2020,48.04999923706055,0.72,1.498439149702775
Walmart,WMT,2021,48.22999954223633,0.733332,1.520489336430122
Walmart,WMT,2022,47.26333236694336,0.746668,1.5798039676995568
Walmart,WMT,2023,52.54999923706055,0.76,1.446241695592671
Walmart,WMT,2024,90.3499984741211,0.832,0.9208633249045481
Walmart,WMT,2025,111.41000366210938,0.94,0.8437303375834055
Exxon Mobil,XOM,2015,77.94999694824219,2.88,3.6946762190539704
Exxon Mobil,XOM,2016,90.26000213623047,2.98,3.3015731547427305
Exxon Mobil,XOM,2017,83.63999938964844,3.06,3.6585366120635285
Exxon Mobil,XOM,2018,68.19000244140625,3.23,4.736764751952382
Exxon Mobil,XOM,2019,69.77999877929688,3.4299999999999997,4.915448638582738
Exxon Mobil,XOM,2020,41.220001220703125,3.48,8.442503388991017
Exxon Mobil,XOM,2021,61.189998626708984,3.49,5.703546459104905
Exxon Mobil,XOM,2022,110.30000305175781,3.55,3.2184949245506163
Exxon Mobil,XOM,2023,99.9800033569336,3.68,3.680736023644865
Exxon Mobil,XOM,2024,107.56999969482422,3.84,3.5697685329497713
Exxon Mobil,XOM,2025,120.33999633789062,4.0,3.3239156736957183
